Observatoire des territoires - ANCT; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : Communes (2024); ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre d'Arrêtés de Catastrophes Naturelles publiés au J.O.;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Superficie 2021;Consommation d'espaces naturels, agricoles et forestiers (ENAF) entre le 1er janvier 2009 et le 1er janvier 2023;Population au dernier recensement 2021
38503;La Terrasse;4;-37;18.4;0;37.6;43.1;9.5;5.5;2481
38504;Theys;7;-6.2;1.3;0;68.7;30;35.8;18.4;2006
38505;Thodure;7;7.9;3.5;0;17.2;79.4;14.5;2.6;790
38507;Tignieu-Jameyzieu;9;53.4;30.8;0;7.2;61.9;13.3;54.4;7815
38508;Torchefelon;8;-22.6;4.3;0;10.3;85.4;8.7;13.3;822
38509;La Tour-du-Pin;10;44;52.3;0;0.1;47.6;4.8;7.8;8138
38511;Le Touvet;3;-40.2;11.2;0;44.3;44.1;11.6;15.9;3076
38512;Tramolé;8;5.9;5.9;0;10.5;81.4;7;10.8;794
38513;Treffort;2;-14.5;2.1;0;65.5;20.2;11;1.6;272
38514;Tréminis;2;27.3;0;0;89.4;10.6;49.4;2.5;193
38515;Trept;11;-9.6;12;0;2.7;85.3;15.9;20.1;2135
38516;La Tronche;6;N/A - résultat non disponible;44.9;0;42.4;10.2;6.4;6.3;6470
38517;Tullins;5;-5.1;11.9;0;25.8;61.9;28.8;29;7706
38518;Valbonnais;2;-23.7;1.3;0;76.1;22.6;24;2.2;514
38519;Valencin;18;-42.6;17.3;0;11.1;71.6;9.6;17.8;2891
38520;Valencogne;7;-14.1;6.2;0;10.8;83;7.6;4.4;687
38521;La Valette;2;143.4;0;0;89.2;10.8;7.9;0.2;62
38522;Valjouffrey;2;-3.4;0;0;97.9;2.1;72.6;0.6;155
38523;Varacieux;6;-4.9;0;0;35.6;64.4;18.5;7.1;845
38524;Varces-Allières-et-Risset;6;84.5;17;0;38.1;43.6;20.9;24.3;8287
38525;Vasselin;9;-10.3;7.9;0;25.9;66.2;3.9;2.8;462
38526;Vatilieu;8;16.2;0;0;43.2;56.8;9.2;2.9;361
38527;Vaujany;3;1291.7;0.4;0;96.4;0.9;64.5;4.8;348
38528;Vaulnaveys-le-Bas;4;46.3;4.7;0;55;40.3;11.9;8.1;1360
38529;Vaulnaveys-le-Haut;4;-24.5;11.6;0;65.5;22.9;19.9;17;4000
38530;Vaulx-Milieu;7;-3.7;20.4;0;14.3;65.2;9;43.3;2505
38531;Velanne;6;25.5;4.7;0;26.4;68.9;8;6.6;563
38532;Vénérieu;6;-9.7;11.3;0;10.2;77.5;6;11.6;983
38533;Venon;4;-29.1;7.5;0;49.2;43.3;4.3;5.6;801
38535;Vernas;7;-61.7;4.5;0;20.3;72.7;5.9;0.8;265
38536;Vernioz;20;4.7;8.2;0;29.7;62.1;11.3;21.7;1469
38537;La Verpillière;8;49.5;38.3;0;32.4;29.3;6.6;13.4;7500
38538;Le Versoud;6;-15.8;36.9;0;13.5;42.7;6.3;15.8;4973
38539;Vertrieu;6;17.3;19.5;0;30.9;34.2;4.6;1.6;602
38540;Veurey-Voroize;3;-41.6;10.3;0;68.8;17.8;12.2;18.4;1401
38542;Veyssilieu;9;-5.9;0;0;54.1;45.9;6.5;3.1;326
38543;Vézeronce-Curtin;7;-2.6;13.1;2.2;20.6;64.1;14.4;17.9;2193
38544;Vienne;22;-1.9;37.7;0;27.6;30.9;22.6;59.1;31051
38545;Vif;7;-12;14.1;0;50.4;35.5;28.3;21.9;8584
38546;Vignieu;15;-21.2;4.8;5.2;14.6;75.5;9.4;9.8;946
38547;Villard-Bonnot;5;-13.9;48;0;24.1;18.3;5.8;35.3;7331
38548;Villard-de-Lans;6;17.3;4.5;0;73.9;21.7;67.2;34;4322
38549;Villard-Notre-Dame;2;N/A - résultat non disponible;0;0;99.7;0.3;14.1;0;28
38550;Villard-Reculas;2;-51.5;5.2;0;94.8;0;5;0.9;65
38551;Villard-Reymond;2;N/A - division par 0;0;0;96.7;3.3;11.2;0.2;41
38552;Villard-Saint-Christophe;2;-9.4;2.2;0;72.9;24.9;14.2;4.4;400
38553;Villefontaine;3;-97.3;49.1;0;16.6;32.7;11.6;39.6;19083
38554;Villemoirieu;8;6;13.5;0;20.1;66.4;13.3;17;1856
38555;Villeneuve-de-Marc;17;-11.2;1;0;34.2;64.8;26.2;3.9;1161
38556;Ville-sous-Anjou;17;-0.7;5;0;22.8;72.1;18.2;7.8;1190
38557;Villette-d'Anthon;11;-10.2;24.9;0;13.7;60.2;22.8;77.9;5212
38558;Villette-de-Vienne;11;-33.5;12.9;0;15;72.1;11;15.4;1934
38559;Vinay;11;-3.4;15.8;0;23.2;60.6;16;18.7;4435
38560;Val-de-Virieu;17;-0.8;4.4;0;26.3;69.3;16.3;6.1;1535
38561;Viriville;5;0;4.8;0;35;60.2;30.4;18.9;1706
38562;Vizille;4;-34.1;33.9;0;43.3;22.9;10.5;7.3;7293
38563;Voiron;5;26;30.6;0;25.5;43.9;21.9;65.5;20891
38564;Voissant;8;-4.3;0;0;46.6;53.4;3.9;1.1;236
38565;Voreppe;8;0.5;20.1;0;47.3;30.5;28.6;33.4;9758
38566;Vourey;2;10.7;18.5;0;10.6;70.9;6.9;10.1;1687
38567;Chamrousse;2;N/A - résultat non disponible;6.9;0;93.1;0;13.3;4.1;414
39001;Abergement-la-Ronce;8;-14.1;39.3;0;23.6;37.1;7.1;9.5;841
39002;Abergement-le-Grand;4;33.3;0;0;26.5;73.5;4.2;1.9;62
39003;Abergement-le-Petit;5;8.3;0;0;40.7;59.3;1.5;0.8;50
39004;Abergement-lès-Thésy;4;6.2;0;0;12.8;87.2;4.6;1;51
39006;Aiglepierre;4;11.7;5.1;0;46.5;48.3;7;4.5;436
39007;Alièze;4;-10.2;0;0;53.4;46.6;5.9;1.5;148
39008;Amange;10;14.8;4.8;0;33.5;61.7;6.8;4.1;445
39009;Andelot-en-Montagne;5;0.8;4.7;2.2;35.6;57.4;12.5;3.6;552
39010;Andelot-Morval;6;0;0;0;48.9;51.1;10.5;1.1;91
39011;Annoire;8;9.9;4.3;0;4;90.8;15.7;2.4;417
39013;Arbois;12;48.5;5.1;0;48.9;46;45.4;11.9;3193
39014;Archelange;6;N/A - résultat non disponible;2.4;0;37;60.5;5.1;1.5;217
39015;Ardon;2;0;0;0;66.8;33.2;5;0.6;113
39016;Arinthod;4;11.1;4.2;0;48.2;47.7;27;8.8;1131
39017;Arlay;17;-12.1;10.6;0;31.9;57.5;20.2;11.9;1187
39018;Aromas;5;-5.3;0;0;50.7;49.3;25.8;6.7;609
39019;Les Arsures;5;-37.5;8;0;43;49.1;4.4;2.8;209
39020;Arsure-Arsurette;2;26;2;6;50.2;41.8;12.6;1.1;99
39021;La Chailleuse;5;-14;1.9;0;44.5;53.7;24.5;4.8;592
39022;Asnans-Beauvoisin;8;-5.8;3.4;0;12.8;83;16.2;10.2;735
39024;Audelange;9;-23.3;5;0;11.7;75.7;4.6;5.1;263
39025;Augea;7;22.6;2.4;0;25.8;71.8;7.5;2.1;272
39026;Augerans;6;-6.5;3.6;0;62.8;33.6;8.1;2.6;184
39027;Augisey;3;-28.3;3.6;0;35.7;60.8;9.3;1.1;183
39028;Aumont;8;0.5;5.9;0;31.1;63;8;4.1;458
39029;Aumur;6;14.5;5.1;0;10.4;84.5;9.2;3.8;385
39030;Authume;11;-11.2;14;0;22.4;63.6;7.5;8.5;856
39031;Auxange;11;7.2;5.2;0;10.6;84.2;5.2;1.5;200
39032;Avignon-lès-Saint-Claude;2;N/A - résultat non disponible;4.3;0;85.8;9.9;7.8;0.9;362
39034;Balaiseaux;8;25.2;1.7;0;34.1;60.2;6;2;308
39035;Balanod;7;128.6;11.7;0;39.7;48.6;4.9;4;344
39037;Bans;6;-3.8;11.6;0;32.1;56.2;3.9;8.5;188
39038;Barésia-sur-l'Ain;4;46;0;0;43.7;41.6;9.4;1;144
39039;La Barre;6;0.8;7.7;0;31.6;54.5;3.3;2.4;245
39040;Barretaine;4;-4.7;3.4;0;18.3;78.3;9.2;8.4;186
39041;Baume-les-Messieurs;8;10.6;0;0;68.6;31.4;13.1;1.4;159
39042;Baverans;10;84.2;12.5;0;9.7;72;3.4;4;497
39043;Beaufort-Orbagna;13;-3.4;7.9;0;35.7;56.4;17.2;10.8;1444
39045;Beffia;4;44.5;0;0;48.7;51.3;5.2;0.6;80
39046;Bellecombe;3;-5.1;0;0;54.2;45.8;12.2;0.2;74
39047;Bellefontaine;3;-38.2;1.2;2.7;76;19.3;24.7;3.5;505
39048;Belmont;10;-15.3;2.2;0;65.8;32;16.1;1.4;253
39049;Bersaillin;10;5.6;6.4;0;36.3;57.3;13.9;9.2;406
39050;Besain;5;30.3;2;3.2;56;38.7;12.8;5.1;156
39051;Biarne;10;79.9;4.1;0;28.5;67.4;6.2;3.3;432
39052;Bief-des-Maisons;2;6;0;0;20.5;79.5;5.8;0.5;72
39053;Bief-du-Fourg;2;-4.9;2.7;11.7;15.3;70.3;10.2;1.8;214
39054;Biefmorin;8;27.2;0;0;72.9;22.2;11.2;1.9;97
39055;Billecul;2;56.5;0;0;9.2;90.8;4.4;1.2;52
39056;Bletterans;13;0;18.7;0;20.3;61;8;7.5;1527
39057;Blois-sur-Seille;7;20;0;0;34;66;5.4;1.1;100
39058;Blye;3;4.4;3;0;32.2;63.8;10.8;1.4;166
39059;Bois-d'Amont;4;-56;14.9;9.6;57.5;18;12.1;8;1653
39060;Bois-de-Gand;9;N/A - résultat non disponible;0;0;18.9;81.1;3.2;0.5;58
39061;Boissia;4;-29.8;0.2;0;13.6;83;5.7;0.6;109
39062;La Boissière;2;59.4;0;0;49.3;50.7;5.4;0.8;71
39063;Bonlieu;4;14.4;3.4;0;65;29.7;13.1;1.9;234
39065;Bonnefontaine;4;-43.1;2.9;0;69.1;28;8.8;2;118
39066;Bornay;6;-12.7;4.5;0;36.4;59.1;6.8;1.9;180
39068;Les Bouchoux;3;4.2;0;0;66.3;33.7;21.7;4.7;311
39070;Bourg-de-Sirod;3;4;0;0;68.9;31.1;4.4;0.5;89
39072;Bracon;6;-13.1;4;0;21.7;74.3;6.3;2.9;311
39073;Brainans;9;-28.2;5.1;0;32.3;62.7;7.1;5.5;181
39074;Brans;9;-12;4;0;44.4;51.6;8.8;4.3;202
39076;La Bretenière;6;5.2;0;0;3.8;96.2;1.6;2.6;219
39077;Bretenières;6;0;0;0;41.2;58.8;4.1;0.1;44
39078;Brevans;10;-51.5;16.4;0;8.7;69.6;3.6;4.1;697
39079;Briod;2;-12.1;12.6;0;25.9;61.5;4;1.3;207
39080;Broissia;4;31.2;0;0;50.9;49.1;3;0.7;59
39081;Buvilly;9;9.2;5.5;0;11.4;83.1;6;3;394
39083;Censeau;2;7.4;4.4;1.3;16.2;78.1;9.9;2.8;332
39084;Cernans;4;44;0;0;17.8;82.2;5.5;1.6;141
39085;Cerniébaud;2;9.2;0;0;72.3;27.7;10.5;1.3;90
39086;Cernon;3;15.4;1.9;0;67.3;29.5;16.4;0.9;233
39088;Cesancey;4;-64.7;7.1;0;38.9;54;5.1;0.8;390
39090;Chaînée-des-Coupis;6;-8.6;5.9;0;3.3;90.8;5;3;186
39091;Les Chalesmes;2;95.3;0;0;54.2;45.8;9.5;0.5;85
39092;Chambéria;3;-7.5;0;0;54.4;45.6;14.7;2.9;191
39093;Chamblay;8;4.8;4.1;0;49.5;46.4;13.8;5.9;423
39094;Chamole;4;-6.3;0;0;29;71;5.8;3.2;160
39095;Champagne-sur-Loue;8;-0.3;7.4;0;16.9;75.7;3.8;1.8;120
39096;Champagney;7;-36.9;3.5;0;45.1;51.4;15.6;3.7;462
39097;Champagnole;5;-15;24.9;0;46;29;20.2;46.8;8000
39099;Champdivers;8;-23.4;10.2;0;5.7;69.9;7.4;2.9;445
39100;Champrougier;9;N/A - résultat non disponible;0;0;62.1;30.3;8.7;1.7;101
39101;Champvans;9;0.4;8.3;0;52.2;39.5;14.2;7.8;1461
39102;Chancia;5;N/A - résultat non disponible;0;0;58.2;13.3;2.4;0.4;224
39103;La Chapelle-sur-Furieuse;6;12.6;5.5;0;57.5;37;9;4;302
39104;Chapelle-Voland;9;-0.5;1.1;0;11.9;85.8;30.5;5.8;613
39105;Chapois;4;12;2.8;0;53.2;44;10.1;2;216
39106;Charchilla;2;-30.7;5.1;0;84.1;10.7;6.8;5.1;288
39107;Charcier;5;21.3;0;0;52.8;47.1;12.9;1;147
39108;Charency;2;-12.2;0;0;31.3;68.7;2.7;0.6;58
39109;Charézier;5;-21.7;0;0;33.5;64.8;9.3;2.9;172
39110;La Charme;6;N/A - résultat non disponible;0;0;73.1;26.9;3.7;0.4;65
39111;Charnod;4;3.4;0;0;51.3;48.7;5.2;0.4;38
39112;La Chassagne;7;-28.6;0;0;35.7;64.3;5.7;0.3;105
39114;Château-Chalon;8;75.4;0;0;51.6;48.3;10.2;1.7;143
39116;La Châtelaine;4;-18.7;2;0;76.2;21.8;13.2;2.4;153
39117;Chatelay;6;-91.7;1.6;0;90.6;7.8;13.1;2;103
39118;Châtel-de-Joux;5;N/A - résultat non disponible;0;0;94.5;5.5;14.1;0;51
39119;Le Chateley;5;-28.1;0;0;54.4;39.8;4.7;0.3;85
39120;Châtelneuf;3;39.8;0;0;77.5;22.5;13;3.3;124
39121;Châtenois;8;36.4;8.6;0;30.5;60.9;8;3;413
39122;Châtillon;5;3;2;0;44.5;52.5;16.8;0.5;118
39124;Chaumergy;10;-86.6;7.6;0;26.3;66;6.1;3.4;474
39126;La Chaumusse;4;55.1;4.4;0;63.8;31.8;10.6;5.6;393
39127;Chaussenans;4;93;0;0;25.4;74.6;4.4;0.9;112
39128;Chaussin;12;21.9;9.2;0;1.4;87.9;16.8;3.2;1547
39129;Chaux-des-Crotenay;6;-2.7;4.9;0;58.5;36.7;11.7;1.5;390
39130;Nanchez;5;32.8;3.5;3.1;65.7;27.7;31.6;8.9;775
39131;La Chaux-du-Dombief;5;7;2;2.6;76.2;15.3;21.6;2.4;563
39132;La Chaux-en-Bresse;6;N/A - résultat non disponible;0;0;8.9;91.1;2;0.7;31
39133;Chaux-Champagny;5;2;0.1;0;26.3;73.6;7.3;2.7;73
39134;Chavéria;5;4.8;0;0;47.3;52.7;10.2;1.2;218
39136;Chemenot;7;-100;0;0;71.2;28.8;4.7;0.3;35
39137;Saint-Hymetière-sur-Valouse;6;-11.7;1.9;0;37.4;60.8;18.3;4.2;423
39138;Chemin;7;16.1;6.9;0;0;93.1;9.1;1.6;326
39139;Chêne-Bernard;7;4.9;0;0;26.5;73.5;3.6;0.9;79
39140;Chêne-Sec;5;-79.4;0;0;0;100;0.8;0.3;39
39141;Chevigny;7;-99.1;3.4;0;30.9;65.7;7.7;0.9;281
39142;Chevreaux;7;74.3;0;0;63.9;36.1;6.1;0.6;127
39143;Chevrotaine;6;N/A - résultat non disponible;0;0;73.7;26.3;5.3;0.1;33
39145;Chille;9;972.7;20.7;0;0;79.3;2;1.9;296
39146;Chilly-le-Vignoble;9;40.9;21.8;0;29.5;48.8;3.1;18.8;600
39147;Chilly-sur-Salins;7;45.3;2;0;72.3;25.6;11.9;4.3;96
39149;Chissey-sur-Loue;9;-32.8;1.4;0;79.3;19.2;38.6;2;318
39150;Choisey;11;6.3;13.5;0;21;58.7;7.6;14.3;1009
39151;Choux;2;204.4;3.1;0;68.8;28.2;8.3;2;133
39153;Cize;5;N/A - résultat non disponible;13.7;0;65.8;20.4;4.2;3.3;809
39154;Clairvaux-les-Lacs;7;-6.2;12.3;2.7;46;33;12.3;9.3;1426
39155;Clucy;4;32.2;0;0;25.5;74.5;5.1;1.9;74
39156;Cogna;5;10.7;3.9;0;51.9;44.2;6.6;1.9;238
39157;Coiserette;3;N/A - résultat non disponible;0;0;92.5;7.5;5.9;0;50
39159;Colonne;10;-1;0;0;29.2;70.8;11.1;6;259
39160;Commenailles;8;14.6;2.6;0;39.6;56.6;21.5;12.6;903
39162;Condamine;9;-45.4;10.1;0;20.7;69.2;3.6;1.1;249
39163;Condes;2;N/A - résultat non disponible;0;0;42.2;18.9;2;0.3;116
39164;Conliège;14;15;8.7;0;48.9;42.3;6;0.3;656
39165;Conte;3;10.5;0;0;30.3;69.7;3.3;0.5;57
39166;Cornod;3;7.3;0;0;45.2;54.8;14;1.9;214
39167;Cosges;11;4.6;1.6;0;12.8;85.6;13.5;4.9;356
39168;Courbette;2;9.7;0;0;36.9;63.1;2.6;1.9;46
39169;Courbouzon;11;-57.1;16.2;0;44.7;39.1;3.4;2.7;589
39170;Courlans;12;-11.7;15.2;0;10.2;74.6;6.2;7.4;925
39171;Courlaoux;10;-8.7;13;0;19.1;67.9;12.4;20.5;1136
39172;Courtefontaine;6;119.2;0;0;86.5;13.5;13.6;4.2;261
39173;Cousance;8;11.1;18.2;0;16.8;65;6.4;7.6;1293
39174;Coyrière;3;N/A - résultat non disponible;0;0;79.2;20.8;4.1;0;65
39175;Coyron;2;-3.1;0;0;56.6;17.4;5.5;2.1;70
39176;Cramans;9;62.8;7.6;0;44.7;47.8;8.1;4.6;524
39177;Hauteroche;4;16.5;3.6;0;49.1;47.4;38.9;13.3;976
39178;Crans;2;36.7;2.8;0;59;38.2;9;1.4;82
39179;Crenans;9;27.9;3.7;0;77;19.3;8.8;1.6;233
39180;Cressia;4;13.2;2;0;62;36;15;0.9;258
39182;Crissey;10;148.6;16.4;0;0;83.2;4.8;3.6;682
39183;Crotenay;4;4.3;14.9;0;43.6;41.5;11.6;9.2;629
39184;Les Crozets;2;N/A - résultat non disponible;3.8;0;76.8;19.4;7.6;0.5;190
39185;Cuisia;7;3.2;4.7;0;37.1;58.2;10.2;0.9;389
39187;Cuvier;2;4.1;2.7;0;43.3;54;10.3;2.3;273
39188;Dammartin-Marpain;9;18.5;2.4;0;24.1;73.5;11.3;8;346
39189;Damparis;13;N/A - résultat non disponible;36.1;0;27.2;36.7;8.8;12.8;2603
39190;Dampierre;11;-7.2;10.2;0.1;29.2;59.6;9.5;19.2;1319
39191;Darbonnay;4;17.7;0;0;31.8;68.2;4.4;1.4;79
39192;Denezières;2;32.9;0;0;50.7;49.3;6.4;0.5;73
39193;Le Deschaux;10;-16.9;12.6;0;7.9;79.5;8.6;12.5;1014
39194;Desnes;10;20.7;4.6;0;43.6;47;9.1;5.2;485
39196;Les Deux-Fays;7;17.2;0;0;52.1;47.9;6.8;0.7;123
39197;Digna;10;50.5;15.2;0;32.9;51.9;3.4;1.8;364
39198;Dole;18;5;35.1;0;29.6;32;38.4;58.5;23775
39199;Domblans;10;55.8;9.3;0;22.8;67.9;14.9;11.5;1207
39200;Dompierre-sur-Mont;2;-1.7;4.8;0;43.6;51.6;7.4;3.7;210
39201;Doucier;6;7.5;6.7;6.1;33.5;48.5;12.5;3.8;280
39202;Dournon;5;-31.9;0;0;35.1;64.9;6.6;2.5;140
39203;Doye;2;-0.5;0;0;18.8;81.2;3.6;1.2;106
39204;Dramelay;3;28.6;0;0;44.2;55.8;6.5;0;27
39205;Éclans-Nenon;14;24.5;1.5;0;82.9;14.9;25.8;2.3;376
39206;Écleux;7;24.3;5.3;0;44.3;50.4;6.2;2.5;220
39207;Écrille;2;N/A - résultat non disponible;0;0;63.2;36.8;5.2;0.1;85
39208;Entre-deux-Monts;5;-71.8;0;0;47.4;52.6;5.4;1.3;155
39209;Val-d'Épy;9;21.4;0;0;40.1;59.9;25.4;2.5;310
39210;Équevillon;6;N/A - résultat non disponible;13.9;0;63.8;22.3;4.8;8.2;576
39211;Les Essards-Taignevaux;9;-8.1;0;0;15.9;84.1;5.4;1.9;246
39214;Esserval-Tartre;2;10.6;2.1;2.2;61.5;34.1;12.2;1.7;123
39216;Étival;4;20.9;3.6;0;70.6;23.8;13.8;1.7;307
39217;L'Étoile;8;-34.7;7.9;0;21.3;70.8;6.1;18.5;570
39218;Étrepigney;10;4.8;1.6;0;82.2;15.5;15.6;0.3;432
39219;Évans;9;-14.3;4.3;0;22.8;71.3;9.9;6.6;666
39220;Falletans;11;-18.1;1.3;0;82.5;15;24.4;1.9;405
39221;La Favière;3;17.3;0;0;13.2;86.8;2.8;0.3;32
39222;Fay-en-Montagne;4;4.8;4.1;0;5.5;90.3;6.3;3.6;84
39223;La Ferté;5;19.6;2.9;0;42;55;11.8;4.3;192
39225;Le Fied;4;12.9;4.1;0;29.5;66.3;8.4;6.5;188
39227;Foncine-le-Bas;4;50.4;4.4;2.7;50.3;42.7;9.3;2;198
39228;Foncine-le-Haut;4;-1.7;2.4;0.9;62.3;34.5;29;12;1101
39229;Fontainebrux;8;-76;3.8;0;64;25.7;6.8;2.6;206
39230;Fontenu;4;3.6;4.1;1.3;43.3;28.1;6.7;1.2;74
39232;Fort-du-Plasne;5;7.6;2.2;4.3;46.3;47.1;12.9;3.4;466
39233;Foucherans;15;170.9;21.9;0;32.4;45.7;7.7;20.2;2279
39234;Foulenay;7;85.1;0;0;24.8;75.2;4.2;0.2;82
39235;Fraisans;12;N/A - résultat non disponible;3.5;1.4;83.6;9.6;16.9;5.8;1184
39236;Francheville;7;11;0;0;19.3;80.7;1.5;0.5;46
39237;Fraroz;3;-5.1;0;1.9;49.4;48.7;6.2;0.4;54
39238;Frasne-les-Meulières;9;-1.6;0;0;38.5;61.5;4.9;0.2;107
39239;La Frasnée;4;N/A - résultat non disponible;0;0;83.5;16.5;3.2;0;40
39240;Le Frasnois;4;N/A - résultat non disponible;1.8;3.5;77.2;12.8;14.6;4.3;173
39241;Frébuans;9;-99.1;12.3;0;1.7;86;2.6;2.2;384
39244;Frontenay;4;10.1;0;0;43.3;56.7;8.1;1.9;160
39245;Gatey;5;-3.8;6.6;0;59;34.4;14.8;4.9;362
39246;Gendrey;6;0.5;3;0;41.1;55.8;13.9;3.1;432
39247;Genod;3;-6.7;0;0;48.1;51.9;3.1;0.3;74
39248;Geraise;4;17.1;0;0;54.2;45.8;6;1.1;44
39249;Germigney;6;-4.9;0.6;0;42.7;56.6;5.4;0.9;75
39250;Geruge;6;49.8;6;0;20.5;73.5;4.4;2.6;183
39251;Gevingey;10;9.6;9.2;0;38.5;52.3;5.9;4.1;439
39252;Gevry;9;2;27.8;0;4.9;58.7;5.3;10.9;724
39253;Gigny;5;16.4;1.7;0;58.1;40.2;16;1.1;270
39254;Gillois;4;19.4;0;0;22;78;9.7;0.9;133
39255;Gizia;9;3.7;0.4;0;54.1;45.5;7.3;0.7;217
39258;Grande-Rivière Château;3;9;2.5;2.2;60.6;32.6;39.2;4.9;632
39259;Grange-de-Vaivre;10;-12.2;0;0;50.1;49.9;1.7;0.5;41
39261;Graye-et-Charnay;4;6.4;0;0;44.6;55.4;6.3;0.4;138
39262;Gredisans;7;-1.1;11.9;0;47.9;40.2;2.4;0.9;132
39263;Grozon;5;-14.7;1.8;0;12;86.2;14.2;5.8;382
39265;Hautecour;4;-2.3;6.5;0;72.8;20.7;5.2;8.1;198
39266;Les Hays;10;34.7;8.9;0;3.7;87.4;6.8;6.1;347
39267;Ivory;5;20.8;0;0;41.4;58.6;9.1;3.3;92
39268;Ivrey;7;18.8;0;0;65.3;34.7;6.7;0.4;60
39269;Jeurre;5;N/A - résultat non disponible;0;0;77.6;18.9;7;2.2;248
39270;Jouhe;10;0;7.6;0;31.7;60.7;6;3.1;536
39271;Lac-des-Rouges-Truites;3;-11.1;0;1.8;62.8;35.4;19.7;7.8;392
39272;Ladoye-sur-Seille;4;3.4;0;0;55.5;44.5;3.7;1.9;48
39273;Montlainsia;5;5.3;0;0;55;45;21.5;1.1;222
39274;Lajoux;4;60.9;0;0;87.6;12.4;23.6;2.7;295
39275;Lamoura;3;23.5;1.4;0;72.6;26;22.3;9.2;654
39277;Le Larderet;2;0.7;0;0;47.1;52.9;6.3;1.4;51
39278;Largillay-Marsonnay;5;-34.8;0;0;48.5;44.3;7;0.2;135
39279;Larnaud;10;-10.1;11.5;0;27.5;60.5;10.7;7.3;612
39280;Larrivoire;2;46.1;0;0;70.2;29.8;6.5;0.3;105
39281;Le Latet;3;17.3;0;3.8;50.1;46.2;4;2;89
39282;La Latette;2;-20.2;0;0;24.8;75.2;5.9;1;76
39283;Lavancia-Epercy;5;25;10.2;0;81;7.3;10.6;8.4;614
39284;Lavangeot;10;-1.4;0;0;36.5;63.5;2.4;0.5;147
39285;Lavans-lès-Dole;6;30.4;5.5;0;39.6;51.2;10.3;2.6;332
39286;Lavans-lès-Saint-Claude;4;31.6;7.1;0;73.5;19.4;23.7;10.5;2333
39288;Lavigny;9;-7;5.9;0;37;57.1;5.4;3;384
39289;Lect;4;72.1;4.4;0;70;15.4;11.9;1.1;349
39290;Valzin en Petite Montagne;6;-8.8;0;0;38.7;61.3;26.4;3.4;456
39291;Lemuy;6;-8.7;1.9;0;54.8;43.3;21.3;3.3;242
39292;Lent;4;8.3;6.2;0;48.8;45;4.1;0.7;147
39293;Leschères;4;93.3;0;0;90.6;9.4;8.3;0.4;204
39295;Loisia;5;-33.4;0;2.2;55.8;42;11.6;1.8;153
39296;Lombard;7;-97.4;9.8;0;37.3;52.9;5.4;1.9;212
39297;Longchaumois;5;19.9;1.1;0;72.1;26.8;57.6;5;1130
39298;Longcochon;2;39.5;0;0;0;100;3.6;1.3;57
39299;Longwy-sur-le-Doubs;11;-18.3;2.8;0;0.6;92.7;16.5;2.2;490
39300;Lons-le-Saunier;12;120.5;84.9;0;7.2;8;7.7;24.5;17043
39301;Loulle;2;-10.7;2.6;0;48.2;49.1;10.9;4.8;171
39302;Louvatange;8;-1;0;0;40.5;59.5;3.3;1.6;101
39304;Le Louverot;9;-98.3;16.7;0;0.3;83;1.7;0.3;231
39305;La Loye;7;15.2;2.9;0;37;60.1;19.6;3.8;556
39306;Macornay;12;N/A - résultat non disponible;14.1;0;32;54;4.6;4.2;1003
39307;Maisod;2;20;6.3;0;64.5;2;7.4;3.6;324
39308;Malange;8;-21.9;3.1;0;25.2;71.8;8.4;2.8;321
39310;Mantry;7;-25.4;3.4;0;25;71.6;10.8;4.9;476
39312;Marigna-sur-Valouse;4;9.3;0;0;62.3;37.7;8.3;0.4;108
39313;Marigny;4;15.2;4.2;0.5;28.2;67;12;1.7;215
39314;Marnézia;4;-94.6;0;0;49.3;50.7;5;1.1;75
39315;Marnoz;8;-17.3;8.9;0;35;56;4.9;2.6;391
39317;La Marre;5;5;4.4;0;43.3;52.3;10.6;4.8;355
39318;Martigna;4;-88.8;0;0;75.5;24.5;8.8;0.9;198
39319;Mathenay;6;-47.6;0;0;36.2;63.8;3.5;0.4;144
39320;Maynal;3;-25.2;3.2;0;25.5;71.3;8.1;1.6;335
39321;Menétru-le-Vignoble;5;12.6;0;0;42.3;57.7;5.9;2.6;162
39322;Menétrux-en-Joux;5;4.1;0;3.6;81.3;12.4;8.8;0.2;67
39323;Menotey;5;11.5;6.3;0;28.4;65.3;5;0.9;309
39324;Mérona;2;-2;0;0;67.8;32.2;3;0;7
39325;Mesnay;7;3.7;5;0;58.2;36.8;8.3;3.4;576
39326;Mesnois;6;-9.8;2.8;0;47.5;49.7;11.5;1.2;175
39327;Messia-sur-Sorne;13;N/A - résultat non disponible;36.9;0;20.5;42.6;2.7;12.6;870
39328;Meussia;3;167.9;3.4;0;84.9;11.8;13.6;2.8;433
39329;Mièges;2;4.9;3.9;0;1.4;94.6;7.7;3.6;167
39330;Miéry;9;18.3;0;0;22.2;77.8;7.7;2.4;146
39331;Mignovillard;3;10.9;1;1.1;52.9;45;53.8;19.3;864
